TEXT,FROM_USER
@MzHottboxxxez I stay out of the debates. Way way out. Also my cat died from cancer from rabies vet so I'm anti-vax for indoor cats now.,SoAngieWrites
"RT @DrThomasPaul: #Independence? In the USA, the government is run by #Monsanto, which #poisons the food and soil. Forced #vaccines: #VAXXEâ€¦",ShamanofDrums
The Lawsuit Against SB 277 Has Been Filedâ€¦ https://t.co/tBQH61OPkJ Do we own our bodies or does the state? Are we free or slaves? #Vaxxed,fubarista
It's cool how anti-vaxxers disregard all doctors except the random bloggers who claim to have MDs in their anti-vax thinkpieces.,melogna
California kids strike back with federal SB 277 lawsuit https://t.co/xqIqHx6hhP via @wordpressdotcom,WirzAimee
.@NOWinAutism on #Periscope: #sb277 https://t.co/t6BhQptpMt,DotFranny
The Lawsuit Against SB 277 Has Been Filed... - BolenReport https://t.co/glzbe0WUuq,Americanfree2
.@NOWinAutism on #Periscope: #Sb277 RALLY #VaxXed @BenAllenCA https://t.co/8nStAT4FeE,DearVegAbby
Kudos on the filing of this lawsuit. We must fight for our right to informed consent and stop the Medical Tyranny... https://t.co/1TUwnJ1vZB,abramovitzra
Spotlight on the actual danger of MMR Vax. Watch â€œVaxxed: From Cover-Up to Catastrophe Official Trailerâ€ on @Vimeo https://t.co/k9waLz9qZP,clarasoister
RT @doritmi: Rise and Fall of FluMist--Can This Spray Vaccine Be Redeemed? #vaccineswork via @DrPaulOffit https://t.co/5wCTMk9YJ4 via @medsâ€¦,gorskon
RT @DrPeppercorn: @ShirinRajaee @CBSSacramento Vaccines are very crucial to protecting the health of all children. They do not cause diseasâ€¦,liberalgirl4
It is illegal in many areas not to place children in car seats. Vaccines are a public health issue! #vaccineswork  https://t.co/dYaGrGXheh,ClaudiaHirawat
California kids strike back with federal SB 277 lawsuit https://t.co/cipDI8Rfn4 via @wordpressdotcom,keROBinsonArt
California kids strike back with federal SB 277 lawsuit https://t.co/LYLyYySnoM,CaseyDanson
"RT @PedsGeekMD: #SB277, ending nonmedical #vaccine exemptions in CA, went into effect today. Congrats &amp; kudos, again, to @DrPanMD &amp; all whoâ€¦",junekazumi
RT @LotusOak: Harvard Trained Immunologist Explains Why #Vaccines Should Not Be Mandatory https://t.co/oF4Dr3ot4L #SB277 #Vaxxed https://t.â€¦,LindaBrierty
California kids strike back with federal SB 277 lawsuit https://t.co/tfjcL9I2qe via @wordpressdotcom #NotGoingAway,VaxxedMobile
@BeckyJohnson222  @skepticalraptor #CDCwhistleblower himself said no show of causation mmr&amp;autism. Dozens studies show no link. #sb277,doritmi
THE LAWSUIT AGAINST SB 277 HAS BEEN FILED â€¦ https://t.co/CTTKALEjbj,CaseyDanson
The Lawsuit Against SB 277 Has Been Filed... - BolenReport https://t.co/f4HBwaojlD,CaseyDanson
RT @doritmi: Rise and Fall of FluMist--Can This Spray Vaccine Be Redeemed? #vaccineswork via @DrPaulOffit https://t.co/5wCTMk9YJ4 via @medsâ€¦,arclight
RT @ShirinRajaee: More than 200 people line candles at state Capitol in silent protest of CA's vaccine law #SB277 @CBSSacramento https://t.â€¦,1Mauricewood
Federal Lawsuit Against SB 277 Filed - California Mandatory Vaccinations https://t.co/VjOxuwLKKS via @httpstwittercomWI_Chemtrails,aboutreed
.@NOWinAutism on #Periscope: #sb277 https://t.co/Tbl3099EJD @kellychronicles,vaxxedthemovie
"The issues are not just about vaccines. If you think about it a line has been drawn in the sand.... This case... https://t.co/yXwvZb1Glq	ADHDNoHarmMeds	Healing w/o Hurting	Connecticut	http://fb.me/82Fhon9Ez		false	0	482	702	3760	Eastern Time (US & Canada)									Facebook	en	False	hdma	userProfile	-72.66648,41.66704	null	-72.66648,41.66704
749304432400052224	vax -washer -cleaner	the whole U.S.A.	2016-07-02 18:11:12	2016-07-02 12:11:12	RT @sketchingsprw: Gee, I wonder who Vax could be talking about. #CriticalRole https://t.co/nNHoNSK45O	tony_mcdowell	Tony McDowell	Mile High		CriticalRole	true	0	69	278	2447	Mountain Time (US & Canada)									Twitter for iPhone	en	False	hdma	userProfile	-117.77395,34.41278	null	-117.77395,34.41278
749288967091195904	SB277, SB 277""",the whole U.S.A.
[BREAKING]The Lawsuit Against SB 277 Has Been Filed https://t.co/n67StWDrOU,JeanneCaley
Harvard Immunologist Demolishes Legislation Terminating VaccineExemptions #utah #slc #love https://t.co/dyJ7iaP616 â€¦ https://t.co/i6fXVl92RM,mrcleansedotcom
No thanks. One anti-vax douche-canoe in the debates will suffice. Please go back to being an irrelevant hack. https://t.co/zpynrzqIAU,wizardoftodd
"RT @Inforwarrior2: PLEASE! If your a leftist, liberal, progressive, anti-gun, pro-vax, pro-abortion, anti-God, DON'T FOLLOW ME!",ATCarter07
https://t.co/WqqIHmCxSV https://t.co/uuigZnesIW,chiroroy
"One year from the day California's SB 277 was signed into law by Governor Brown, a dream teamâ€¦ https://t.co/ckKFGGJU5P	CallMeTheDoula	Babetta Juergens	Los Angeles	https://www.instagram.com/p/BHXnUqIApbK/		false	0	35	40	405	Arizona									Instagram	en	False	hdma	userProfile	-118.24368,34.05223	null	-118.24368,34.05223
749304084314918917	vax -washer -cleaner	the whole U.S.A.	2016-07-02 18:09:49	2016-07-02 11:09:49	Need one for wagers with Vax	Adjxstment	Cody //	Florida			false	0	800	96	8239	Pacific Time (US & Canada)		Tampa, FL	US	city	-82.620093,27.821353,-82.2652945,28.171836	-82.44269374999999,27.9965945			Twitter for iPhone	en	False	hdma	place,userProfile	-82.44269374999999,27.9965945	null	-82.44269374999999,27.9965945
749298683867308032	SB277, SB 277""",the whole U.S.A.
RT @ShotAtLife: #VaccinesWork and save lives everyday. It's really that simple. https://t.co/GRWwemtVkZ,kidspluspgh
"RT @PedsGeekMD: #SB277, ending nonmedical #vaccine exemptions in CA, went into effect today. Congrats &amp; kudos, again, to @DrPanMD &amp; all whoâ€¦",Babolat91
RT @agreencleveland: #India was validated as having eliminated maternal &amp; neonatal tetanus because it committed to improving access to immuâ€¦,Globalyze_
RT @LotusOak: Harvard Trained Immunologist Explains Why #Vaccines Should Not Be Mandatory https://t.co/oF4Dr3ot4L #SB277 #Vaxxed https://t.â€¦,GangstaOfBoats
"RT @DrWilliamHoh: @DrPanMD @PedsGeekMD anti-vaccination people are well-intentioned, but believe the pseudoscience. And fail to consider châ€¦",pediatricskc
#SB277 https://t.co/04ndJPFtaX,janusnorman
The rights and lives of your children are at stake! Please help stop SB 277 with this Lawsuit -Our Kids Our Choice https://t.co/fSTo7dlGqb,Fawnzie10
RT @itsmepanda1: @GeoffSchuler Pfft. Y'all invented echo chamber tweeting. @AutistasAngeles @VeritasDolor #sb277 #censorship https://t.co/Pâ€¦,joegooding
"RT @DrPanMD: #TBT: Last year, #SB277 was signed into law and is going into effect for this coming school year. Thank you,... https://t.co/hâ€¦",janusnorman
RT @aspiritcan: To all of these Senators: #WeThePeople can sue the state of California for injury caused by #SB277.  #VetoSB277 https://t.câ€¦,peakdavid
The Lawsuit Against SB 277 Has Been Filed... https://t.co/XDOjHkRiaV via @TimBolen1,incomemadeeasy
RT @HealthyATV: LIVE on #Periscope: ðŸ’œâ¤ï¸ðŸ‘ðŸ»R U vax inj parent2â‰ï¸ðŸ¤”ðŸ’¥#cdcwhistleblower #vaxxed #factsonvax #save #macesmom #getofftâ€¦ https://t.câ€¦,dawterofliberty
Toddler Dies After â€œAnti-Vax Parentsâ€ Allegedly Failed To Seek Proper MedicalÂ Treatment https://t.co/WyVG6VLI5m,ftechnewscom
"RT @GaviSeth: Congratulations #Myanmar on introducing PCV, preventing a major cause of #pneumonia &amp; child death. #vaccineswork https://t.coâ€¦",DiagnosticChick
he sums it up well ... https://t.co/RTssCjLryW,VaccineAlertFYI
Toddler Dies After â€œAnti-Vax Parentsâ€ Allegedly Failed To Seek Proper MedicalÂ Treatment https://t.co/y4AMlh26ZY,ftechnewscom
@SuzyHaroutunian vax cavt tanem.. Come to Zaros with silv tomorrow Imma be cooking,rroossiiiee
Forced #vaccine -police state is here #1984 https://t.co/R6JHWq7HK8,DrAurore
Merckâ€™s Ad Campaign Blames Vax-Safety Parents For Childrensâ€™ Cancers |Child Health Safety https://t.co/QyTDkV6Tio,EvelynPringle
RT @CplBart: @BassBabyDoll @DrPanMD fuck #sb277 #notgoingaway https://t.co/mS7LKczgli,BassBabyDoll
Solidarity vigil in Florida #SB277 #Notgoingaway https://t.co/c0mfEw00V7,jdelugach
@MaryKretzmann @DrPanMD I could turn it around &amp; ask if ppl who dont support SB277 r ready to personally care 4 the kids harmed by diseases,PedsGeekMD
People who want medical choice and bodily autonomy are not going away. https://t.co/EIFBv0A7Es,AutismOne
"MT @AdamMinter: in wake of Malaysian diptheria; measels outbreaks, govt threatens fines &amp; jail for anti-vax parents https://t.co/3bVson3fva",VOANorman
@MaryKretzmann @DrPanMD Vaccines protect against injury. The risk from a vaccine is minuscule compared to the harms from wild diseases.,PedsGeekMD
"@Pianomover 30 years ago, there were a few vaccinations. This law requires every vaccine lobbyists get on the CDC schedule to be purchased.",CalliCoop
#sb277 Rally Santa Monica Rachael Ross MD https://t.co/qBgd8hAHiE,AnonymTipster
â–ºSB277 FAQs | https://t.co/HdvRfBgrJ5 https://t.co/CFZbZLvVNI,AyanaShakira
Decent media coverage of #SB277 protest and vigil. #NotGoingAway https://t.co/X9tekbv5rx,jdelugach
New California Law Requires Doctor's Note For Vaccine Exemptions... But There's An Out | KPBS https://t.co/5IdwNvo10u,AyanaShakira
Levi Quackenboss on SB277 Lawsuit - AGE OF AUTISM https://t.co/IQAiByrpEe,EvelynPringle
@walrusrising #SB277vigil #Sb277 #HearUs #HearThisWell...we will #RiseUp #BeBrave &amp;  We Are #NotGoingAway! https://t.co/GIBScblMHsâ€,FlyingOFamily
"@frill_ability I believe in evidence: an overwhelming pop. who #vaccines  assist, + many whose disabilities are vax related. Both are right.",frill_ability
RT @jenmort2002: #vaxxed #SB277 #notgoingaway https://t.co/L1mMZ0V94l,Paulthoughts
